linkId,roadName,speed_kmh,congestion_level,observed_at
2950057700,대백제로,78,,20251029111500
2950057800,대백제로,77,,20251029111500
2950058200,대백제로,51,,20251029111500
2950058400,대백제로,52.5,,20251029111500
2950078901,장산로,27,,20251029111500
2950079000,장산로,26,,20251029111500
2950079300,해망로,68,,20251029111500
2950079400,해망로,78,,20251029111500
2950079500,해망로,76,,20251029111500
2950079600,해망로,78,,20251029111500
2950079700,대백제로,48,,20251029111500
2950079800,대백제로,54.5,,20251029111500
2950079900,대백제로,54,,20251029111500
2950080000,대백제로,46.5,,20251029111500
2950080100,대백제로,34,,20251029111500
2950080200,대백제로,42.3,,20251029111500
2950080300,대백제로,53,,20251029111500
2950095800,충서로,50,,20251029111500
2950095900,충서로,48,,20251029111500
2950098000,장항산단로,51,,20251029111500
2950098100,장항산단로,43,,20251029111500
2950098200,장항산단로,42.3,,20251029111500
2950098300,장항산단로,43.3,,20251029111500
2950098400,장항산단로,61,,20251029111500
2950098500,장항산단로,52,,20251029111500
2950098600,장항산단로,54,,20251029111500
2950098700,장항산단로,29,,20251029111500
2950098802,장항산단로,21,,20251029111500
2950098804,장항산단로,71,,20251029111500
2950098806,장항산단로,54,,20251029111500
2950098808,장항산단로,50,,20251029111500
2950098810,장항산단로,61,,20251029111500
2950098811,장항산단로,55,,20251029111500
2950098901,장항산단로,51,,20251029111500
2950098903,장항산단로,56,,20251029111500
2950098905,장항산단로,27,,20251029111500
2950098907,장항산단로,44.5,,20251029111500
2950098909,장항산단로,65,,20251029111500
2950098912,장항산단로,25.5,,20251029111500
2950100201,장마로,50,,20251029111500
2950100202,장마로,63.5,,20251029111500
2950100501,장마로,48,,20251029111500
2950100502,장마로,50,,20251029111500
2950100901,장마로,48,,20251029111500
2950100904,장마로,31,,20251029111500
2950101102,장마로,50,,20251029111500
2950101103,장마로,36,,20251029111500
2950101600,장항산단로,60,,20251029111500
2950101700,장항산단로,58,,20251029111500
2950101800,마서로,56,,20251029111500
2950101900,마서로,45,,20251029111500
2950102001,옥도로,37,,20251029111500
2950102002,옥도로,37,,20251029111500
2950102101,옥도로,26,,20251029111500
2950102102,옥도로,47,,20251029111500
2950102200,장항산단로,41,,20251029111500
2950102300,장항산단로,51,,20251029111500
2950102400,장서로,39.5,,20251029111500
2950102500,장서로,53.5,,20251029111500
2950102600,삼산길,38,,20251029111500
2950102700,삼산길,27,,20251029111500
2950102800,대백제로,52,,20251029111500
2950102900,대백제로,49.7,,20251029111500
2950103000,대백제로,63,,20251029111500
2950103100,대백제로,47,,20251029111500
2950103200,대백제로,21,,20251029111500
2950103300,대백제로,50,,20251029111500
2950103400,사곡로,22,,20251029111500
2950103500,사곡로,9,,20251029111500
2950103600,-,14,,20251029111500
2950103700,-,22,,20251029111500
2950103800,대백제로,77,,20251029111500
2950103900,-,19,,20251029111500
2950104000,-,31,,20251029111500
2950104100,대백제로,74,,20251029111500
2950104200,-,37,,20251029111500
2950104300,사곡로,33,,20251029111500
2950104400,사곡로,14,,20251029111500
2950104500,사곡안길11번길,33,,20251029111500
2950104600,-,29,,20251029111500
2950104700,사곡안길11번길,33,,20251029111500
2950104800,사곡로,20,,20251029111500
2950104900,사곡로,21,,20251029111500
2950105000,사곡로,18,,20251029111500
2950105100,사곡로,26,,20251029111500
2950105200,사곡로,32.5,,20251029111500
2950105300,사곡로,36,,20251029111500
2950105400,대백제로,72.5,,20251029111500
2950105500,송신로,33,,20251029111500
2950105600,송신로,5,,20251029111500
2950105700,대백제로,75,,20251029111500
2950105801,충절로,33,,20251029111500
2950105902,충절로,28,,20251029111500
2950106000,사곡안길11번길,26,,20251029111500
2950106100,사곡안길11번길,32,,20251029111500
2950106200,-,28,,20251029111500
2950106300,-,21,,20251029111500
2950106400,사곡로,38,,20251029111500
2950106500,사곡로,32,,20251029111500
2950106600,사곡로28번길,33,,20251029111500
2950106700,사곡로28번길,32,,20251029111500
2950106800,충절로29번길,11,,20251029111500
2950106900,충절로29번길,27,,20251029111500
2950107000,충절로29번길,30,,20251029111500
2950107100,충절로29번길,19,,20251029111500
2950107200,충절로29번길,32,,20251029111500
2950107300,충절로29번길,29,,20251029111500
2950107400,충절로29번길,33,,20251029111500
2950107500,충절로29번길,29,,20251029111500
2950107600,충절로29번길,26,,20251029111500
2950107700,사곡안길,14,,20251029111500
2950107800,송신로,21,,20251029111500
2950107900,사곡안길,30,,20251029111500
2950108000,충절로29번길,30,,20251029111500
2950108100,서천로,32,,20251029111500
2950108200,사곡로,27.5,,20251029111500
2950108300,사곡로,29,,20251029111500
2950108400,송신로,9,,20251029111500
2950108500,서천로,22,,20251029111500
2950108600,서천로,31,,20251029111500
2950108700,서천로,24,,20251029111500
2950108800,충절로,23,,20251029111500
2950108900,충절로,22,,20251029111500
2950109000,충절로41번길,32,,20251029111500
2950109100,충절로41번길,33,,20251029111500
2950109200,충절로41번길,26,,20251029111500
2950109300,충절로41번길,38,,20251029111500
2950109400,충절로41번길,17,,20251029111500
2950109500,충절로41번길,32,,20251029111500
2950109600,충절로41번길,33,,20251029111500
2950109700,충절로41번길,31,,20251029111500
2950109800,서천로,24,,20251029111500
